ó^Ç¶ÇΩèdóvìx,0.230000,0.370000,0.200000,0.300000,0.170000,0.230000,0.100000,0.200000,0.030000,0.170000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
150,0.244929, 0.244929,0.149636, 0.367394,0.146895, 0.401048,0.049657, 0.244929,0.028119, 0.122465,0.761528
151,0.208700, 0.425705,0.179324, 0.238076,0.147058, 0.244956,0.112714, 0.259094,0.057303, 0.127070,0.589804
152,0.228016, 0.259212,0.243614, 0.332939,0.228016, 0.259212,0.077144, 0.147352,0.077144, 0.147352,0.292133
153,0.202127, 0.257412,0.222617, 0.394817,0.161583, 0.258443,0.117330, 0.283933,0.006512, 0.095227,0.579664
154,0.172384, 0.332412,0.197708, 0.413656,0.113271, 0.300533,0.126199, 0.206213,0.041984, 0.095639,0.696907
155,0.161647, 0.490090,0.142795, 0.355058,0.104313, 0.218982,0.133123, 0.221935,0.010409, 0.161647,0.895425
156,0.191524, 0.368586,0.187872, 0.249327,0.187872, 0.249327,0.097564, 0.218600,0.109300, 0.140028,0.451736
157,0.158270, 0.328048,0.208425, 0.390520,0.103846, 0.321657,0.078499, 0.243159,0.060790, 0.106786,0.780341
158,0.242597, 0.423917,0.162664, 0.322531,0.110440, 0.326600,0.087435, 0.242597,0.032413, 0.048805,0.728901
159,0.233724, 0.351090,0.247424, 0.349376,0.149200, 0.286427,0.095603, 0.193808,0.000001, 0.093346,0.548095
160,0.246250, 0.246250,0.154396, 0.394981,0.079847, 0.246250,0.104188, 0.366560,0.038154, 0.123125,0.754331
161,0.131234, 0.440964,0.092991, 0.399953,0.129194, 0.299152,0.095366, 0.243794,0.050074, 0.117278,1.002281
162,0.289932, 0.357585,0.161879, 0.442597,0.116211, 0.198119,0.041968, 0.206020,0.000254, 0.185435,0.779512
163,0.141104, 0.335616,0.255018, 0.395687,0.157359, 0.238328,0.123703, 0.226107,0.024180, 0.102898,0.597271
164,0.206906, 0.434544,0.131124, 0.358734,0.161675, 0.272870,0.060127, 0.217272,0.002463, 0.154285,0.875412
165,0.231363, 0.441815,0.183933, 0.322029,0.142527, 0.271605,0.112606, 0.147061,0.064917, 0.082144,0.529309
166,0.193781, 0.527608,0.180347, 0.372595,0.065196, 0.276471,0.036605, 0.161320,0.001502, 0.184574,1.045138
167,0.264801, 0.420623,0.114941, 0.261228,0.171356, 0.249267,0.058019, 0.229883,0.041798, 0.188084,0.698168
168,0.291189, 0.365241,0.209179, 0.337316,0.145992, 0.236309,0.136096, 0.192119,0.015269, 0.071292,0.404553
169,0.213935, 0.527271,0.145588, 0.286669,0.136370, 0.263585,0.054196, 0.121527,0.000001, 0.250859,0.899821
170,0.216600, 0.437326,0.148574, 0.284626,0.129474, 0.239825,0.085075, 0.241899,0.074276, 0.142324,0.692002
171,0.241346, 0.334040,0.193688, 0.403349,0.068931, 0.301344,0.099506, 0.185615,0.022921, 0.149259,0.747215
172,0.174727, 0.433820,0.147823, 0.379592,0.101666, 0.310832,0.052220, 0.243427,0.000001, 0.155892,1.047126
173,0.228366, 0.469963,0.108649, 0.394421,0.085138, 0.322023,0.055846, 0.174582,0.046971, 0.114040,0.950058
174,0.210089, 0.328787,0.229369, 0.444361,0.162023, 0.258155,0.074707, 0.154662,0.020776, 0.117071,0.606071
175,0.268869, 0.348867,0.172488, 0.453898,0.039718, 0.276851,0.079973, 0.177967,0.000001, 0.181369,0.877904
176,0.177485, 0.308064,0.162738, 0.392780,0.138879, 0.372876,0.094857, 0.213207,0.000236, 0.138879,0.851611
177,0.110684, 0.386634,0.145176, 0.503075,0.124329, 0.262305,0.000001, 0.252715,0.000001, 0.215080,1.239618
178,0.205224, 0.330081,0.186919, 0.452042,0.133826, 0.273591,0.121188, 0.138012,0.025291, 0.133826,0.655104
179,0.205284, 0.423940,0.141426, 0.358840,0.109272, 0.306432,0.132244, 0.174187,0.057659, 0.090717,0.708229
180,0.315406, 0.427428,0.185709, 0.241720,0.098307, 0.265113,0.083057, 0.213714,0.000001, 0.169544,0.635039
181,0.101162, 0.317369,0.209266, 0.451432,0.084016, 0.335510,0.078093, 0.255397,0.005813, 0.161943,1.043301
182,0.160450, 0.378747,0.198863, 0.481350,0.165614, 0.216145,0.109286, 0.182577,0.037800, 0.069167,0.655974
183,0.248979, 0.333662,0.209413, 0.333662,0.109763, 0.353613,0.064104, 0.145309,0.055835, 0.145660,0.623812
184,0.190774, 0.402291,0.174243, 0.235722,0.204983, 0.266462,0.093621, 0.235722,0.051049, 0.145133,0.570661
185,0.223609, 0.516523,0.106571, 0.315012,0.176949, 0.221881,0.000001, 0.251925,0.070853, 0.116676,0.844035
186,0.192825, 0.440790,0.135564, 0.343543,0.168251, 0.309957,0.032025, 0.239104,0.002376, 0.135564,0.937919
187,0.165903, 0.448685,0.136975, 0.356670,0.134651, 0.289519,0.045260, 0.211168,0.064107, 0.147061,0.906208
188,0.193090, 0.433099,0.178807, 0.254292,0.113200, 0.401929,0.070304, 0.134287,0.020540, 0.200452,0.848119
189,0.212214, 0.396017,0.289933, 0.397810,0.107783, 0.211456,0.075104, 0.175098,0.046466, 0.088120,0.537002
190,0.186671, 0.297270,0.224480, 0.309157,0.242223, 0.309157,0.126684, 0.214566,0.038203, 0.051589,0.363478
191,0.116169, 0.293581,0.210021, 0.445665,0.076827, 0.355097,0.107333, 0.247272,0.000001, 0.148033,0.979297
192,0.235951, 0.419093,0.206626, 0.305847,0.093078, 0.221330,0.034071, 0.335079,0.000001, 0.148923,0.860546
193,0.231241, 0.337417,0.231241, 0.314564,0.075783, 0.231241,0.164860, 0.297623,0.014407, 0.101622,0.564934
194,0.277095, 0.474635,0.163830, 0.381032,0.107546, 0.273486,0.038098, 0.146631,0.041910, 0.095736,0.743041
195,0.172549, 0.463014,0.168064, 0.466817,0.040177, 0.299435,0.118531, 0.161620,0.039083, 0.070710,0.923190
196,0.234750, 0.469406,0.192698, 0.318219,0.118493, 0.241912,0.095472, 0.116674,0.064115, 0.148259,0.588943
197,0.199620, 0.382479,0.145525, 0.293836,0.145535, 0.293826,0.099820, 0.191239,0.102597, 0.145525,0.613809
198,0.271734, 0.357452,0.158351, 0.394769,0.150703, 0.244115,0.066142, 0.237521,0.034611, 0.084604,0.636921
199,0.276316, 0.423978,0.133682, 0.337866,0.181214, 0.233260,0.031784, 0.195232,0.000001, 0.186667,0.754006
200,0.277500, 0.522215,0.138610, 0.321405,0.139309, 0.166671,0.119646, 0.192025,0.027923, 0.094697,0.594024
201,0.094817, 0.452167,0.030829, 0.406002,0.146171, 0.373839,0.078194, 0.273492,0.000001, 0.144489,1.299978
202,0.277649, 0.366681,0.100585, 0.296798,0.233133, 0.322165,0.080081, 0.165766,0.000001, 0.157141,0.617103
203,0.189471, 0.514670,0.114719, 0.220962,0.092172, 0.378943,0.064920, 0.314022,0.026201, 0.083920,1.025033
204,0.235736, 0.541124,0.141807, 0.328600,0.117602, 0.283924,0.040018, 0.235204,0.011247, 0.064738,0.907181
205,0.210240, 0.278558,0.182681, 0.417838,0.067102, 0.400971,0.095781, 0.188659,0.035970, 0.122200,0.816453
206,0.181501, 0.441729,0.244564, 0.279898,0.178540, 0.285982,0.041302, 0.233536,0.016633, 0.096314,0.674919
207,0.265670, 0.437863,0.216136, 0.311826,0.146664, 0.267947,0.070687, 0.169924,0.043715, 0.069568,0.514255
208,0.161747, 0.252476,0.207112, 0.297840,0.144350, 0.351872,0.124055, 0.303021,0.033472, 0.124055,0.658529
209,0.129679, 0.363630,0.191531, 0.402113,0.089012, 0.284334,0.154655, 0.208975,0.061862, 0.114209,0.746524
210,0.168848, 0.385730,0.149737, 0.361842,0.248683, 0.288919,0.107566, 0.147803,0.000001, 0.140870,0.650327
